,location,total_sqft,bath,price,bhk,price_per_sqft
235,7th Phase JP Nagar,1075.0,2.0,42.99,2,3999.0697674418607
236,7th Phase JP Nagar,1100.0,2.0,44.0,2,4000.0
237,7th Phase JP Nagar,1270.0,2.0,83.0,2,6535.433070866142
238,7th Phase JP Nagar,3300.0,4.0,150.0,4,4545.454545454545
239,7th Phase JP Nagar,2503.0,4.0,188.0,4,7510.986815821015
240,7th Phase JP Nagar,2200.0,3.0,190.0,3,8636.363636363636
241,7th Phase JP Nagar,1250.0,3.0,65.0,3,5200.0
242,7th Phase JP Nagar,1050.0,2.0,42.0,2,4000.0
243,7th Phase JP Nagar,1385.0,2.0,58.17,3,4200.0
244,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
245,7th Phase JP Nagar,1850.0,3.0,140.0,3,7567.5675675675675
246,7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
247,7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
248,7th Phase JP Nagar,1300.0,2.0,52.0,3,4000.0
249,7th Phase JP Nagar,1575.0,2.0,120.0,3,7619.047619047619
250,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
251,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
252,7th Phase JP Nagar,1175.0,2.0,82.5,2,7021.276595744681
253,7th Phase JP Nagar,3300.0,4.0,160.0,3,4848.484848484848
254,7th Phase JP Nagar,2200.0,4.0,105.0,3,4772.727272727273
255,7th Phase JP Nagar,1215.0,2.0,90.0,2,7407.407407407408
256,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
257,7th Phase JP Nagar,1300.0,3.0,89.13,3,6856.153846153846
258,7th Phase JP Nagar,1130.0,2.0,73.0,2,6460.1769911504425
259,7th Phase JP Nagar,1450.0,3.0,100.0,3,6896.551724137931
260,7th Phase JP Nagar,1350.0,3.0,58.0,3,4296.2962962962965
261,7th Phase JP Nagar,1050.0,2.0,50.0,2,4761.9047619047615
262,7th Phase JP Nagar,1275.0,2.0,87.0,2,6823.529411764706
263,7th Phase JP Nagar,1460.0,3.0,70.0,3,4794.520547945205
264,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
265,7th Phase JP Nagar,850.0,2.0,42.0,2,4941.176470588235
266,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
267,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
268,7th Phase JP Nagar,1236.0,2.0,61.33,2,4961.974110032363
269,7th Phase JP Nagar,1000.0,2.0,53.0,2,5300.0
270,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
271,7th Phase JP Nagar,1675.0,2.0,135.0,3,8059.701492537313
272,7th Phase JP Nagar,1187.0,2.0,59.0,2,4970.513900589722
273,7th Phase JP Nagar,1850.0,3.0,155.0,3,8378.378378378378
274,7th Phase JP Nagar,1000.0,2.0,61.0,2,6100.0
275,7th Phase JP Nagar,1460.0,2.0,100.0,3,6849.315068493151
276,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
277,7th Phase JP Nagar,1200.0,2.0,62.5,2,5208.333333333333
278,7th Phase JP Nagar,1000.0,2.0,70.65,2,7065.000000000001
279,7th Phase JP Nagar,1070.0,2.0,42.0,2,3925.233644859813
280,7th Phase JP Nagar,1080.0,2.0,75.0,2,6944.444444444444
281,7th Phase JP Nagar,1415.0,3.0,65.0,3,4593.639575971732
282,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
283,7th Phase JP Nagar,1040.0,2.0,41.59,2,3999.038461538462
284,7th Phase JP Nagar,1100.0,2.0,44.0,2,4000.0
285,7th Phase JP Nagar,1460.0,2.0,97.0,3,6643.835616438356
286,7th Phase JP Nagar,1120.0,2.0,65.0,2,5803.571428571428
287,7th Phase JP Nagar,1100.0,3.0,60.0,2,5454.545454545455
288,7th Phase JP Nagar,1790.0,3.0,120.0,3,6703.91061452514
289,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
290,7th Phase JP Nagar,1050.0,2.0,77.0,2,7333.333333333333
291,7th Phase JP Nagar,1174.0,2.0,47.0,2,4003.4071550255535
292,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
293,7th Phase JP Nagar,1040.0,2.0,75.0,2,7211.538461538462
294,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
295,7th Phase JP Nagar,1800.0,3.0,130.0,3,7222.222222222223
296,7th Phase JP Nagar,1050.0,2.0,68.0,2,6476.190476190476
297,7th Phase JP Nagar,1400.0,2.0,57.0,3,4071.4285714285716
298,7th Phase JP Nagar,1000.0,2.0,60.0,2,6000.0
299,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
300,7th Phase JP Nagar,980.0,2.0,86.0,2,8775.510204081633
301,7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
302,7th Phase JP Nagar,1050.0,2.0,77.47,2,7378.0952380952385
303,7th Phase JP Nagar,1270.0,2.0,80.0,2,6299.212598425197
304,7th Phase JP Nagar,1463.0,2.0,61.45,3,4200.273410799727
305,7th Phase JP Nagar,1680.0,3.0,122.0,3,7261.9047619047615
306,7th Phase JP Nagar,1070.0,2.0,42.79,2,3999.0654205607475
307,7th Phase JP Nagar,1130.0,2.0,85.0,2,7522.123893805309
308,7th Phase JP Nagar,1680.0,3.0,130.0,3,7738.0952380952385
309,7th Phase JP Nagar,1300.0,2.0,52.0,3,4000.0
310,7th Phase JP Nagar,2980.0,4.0,260.0,3,8724.832214765102
311,7th Phase JP Nagar,980.0,2.0,77.44,2,7902.040816326531
312,7th Phase JP Nagar,1680.0,3.0,112.0,3,6666.666666666667
313,7th Phase JP Nagar,1515.0,2.0,76.0,3,5016.501650165016
314,7th Phase JP Nagar,2095.0,3.0,150.0,3,7159.904534606205
315,7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
316,7th Phase JP Nagar,1976.0,3.0,145.0,3,7338.056680161943
317,7th Phase JP Nagar,1600.0,2.0,110.0,3,6875.0
318,7th Phase JP Nagar,1765.0,3.0,118.0,3,6685.552407932011
319,7th Phase JP Nagar,1275.0,2.0,88.0,3,6901.9607843137255
320,7th Phase JP Nagar,1450.0,2.0,102.0,3,7034.482758620689
321,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
322,7th Phase JP Nagar,1075.0,2.0,57.0,3,5302.325581395349
323,7th Phase JP Nagar,750.0,1.0,47.0,1,6266.666666666667
324,7th Phase JP Nagar,1050.0,2.0,42.0,2,4000.0
325,7th Phase JP Nagar,990.0,2.0,50.0,2,5050.50505050505
326,7th Phase JP Nagar,1000.0,1.0,60.0,1,6000.0
327,7th Phase JP Nagar,1680.0,2.0,92.0,3,5476.190476190476
328,7th Phase JP Nagar,1100.0,2.0,44.0,2,4000.0
329,7th Phase JP Nagar,1430.0,2.0,102.0,3,7132.867132867133
330,7th Phase JP Nagar,1128.0,2.0,60.0,2,5319.148936170212
331,7th Phase JP Nagar,2100.0,3.0,190.0,3,9047.619047619048
332,7th Phase JP Nagar,1140.0,2.0,57.0,2,5000.0
333,7th Phase JP Nagar,1420.0,3.0,90.0,3,6338.028169014085
334,7th Phase JP Nagar,1530.0,2.0,108.0,2,7058.823529411765
335,8th Block Jayanagar,2000.0,6.0,300.0,6,15000.0
336,8th Block Jayanagar,1500.0,6.0,300.0,6,20000.0
337,8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
338,8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
339,8th Phase JP Nagar,1240.0,3.0,43.5,3,3508.064516129032
340,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
341,8th Phase JP Nagar,1230.0,2.0,43.5,3,3536.5853658536585
342,8th Phase JP Nagar,1455.0,3.0,73.31,3,5038.487972508591
343,8th Phase JP Nagar,871.0,2.0,55.0,2,6314.580941446613
344,8th Phase JP Nagar,1098.0,2.0,43.91,2,3999.089253187614
345,8th Phase JP Nagar,1800.0,3.0,80.0,3,4444.444444444444
346,8th Phase JP Nagar,2700.0,4.0,130.0,4,4814.814814814815
347,8th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
348,8th Phase JP Nagar,1059.0,2.0,34.5,2,3257.790368271955
349,8th Phase JP Nagar,1080.0,2.0,35.0,2,3240.740740740741
350,8th Phase JP Nagar,1275.0,2.0,41.5,3,3254.901960784314
351,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
352,8th Phase JP Nagar,500.0,1.0,31.0,1,6200.0
353,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
354,8th Phase JP Nagar,2100.0,4.0,92.0,4,4380.952380952381
355,8th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
356,8th Phase JP Nagar,909.0,2.0,40.9,2,4499.4499449945
357,8th Phase JP Nagar,1431.5,3.0,72.02,3,5031.086273140063
358,8th Phase JP Nagar,1900.0,4.0,90.0,3,4736.8421052631575
359,8th Phase JP Nagar,500.0,1.0,30.0,1,6000.0
360,8th Phase JP Nagar,1125.0,2.0,36.94,2,3283.5555555555557
361,8th Phase JP Nagar,1200.0,3.0,110.0,4,9166.666666666666
362,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
363,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
364,8th Phase JP Nagar,1605.0,2.0,65.0,3,4049.8442367601247
365,8th Phase JP Nagar,1504.0,2.0,83.0,3,5518.617021276596
366,8th Phase JP Nagar,2600.0,4.0,115.0,4,4423.076923076923
367,8th Phase JP Nagar,1368.0,2.0,54.71,3,3999.2690058479534
368,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
369,8th Phase JP Nagar,1224.0,2.0,48.95,3,3999.1830065359477
370,8th Phase JP Nagar,1513.0,2.0,62.0,2,4097.818902842036
371,8th Phase JP Nagar,1298.0,2.0,59.0,2,4545.454545454545
372,8th Phase JP Nagar,1006.0,2.0,44.0,2,4373.75745526839
373,8th Phase JP Nagar,500.0,1.0,33.0,1,6600.0
374,8th Phase JP Nagar,1160.0,2.0,95.0,2,8189.6551724137935
375,8th Phase JP Nagar,1245.0,2.0,59.0,2,4738.955823293173
376,8th Phase JP Nagar,1510.0,2.0,80.0,2,5298.013245033113
377,8th Phase JP Nagar,3300.0,3.0,165.0,3,5000.0
378,8th Phase JP Nagar,1730.0,5.0,75.0,5,4335.260115606937
379,8th Phase JP Nagar,1296.0,2.0,51.83,3,3999.2283950617284
380,8th Phase JP Nagar,1275.0,3.0,45.0,3,3529.4117647058824
381,8th Phase JP Nagar,1046.0,2.0,48.0,2,4588.910133843212
